Date	Open	High	Low	Close	Volume	Adj Close						
12/12/2008	4388.7	4388.7	4201.9	4280.4	1101084600	4280.4						
11/12/2008	4367.3	4430.3	4307.8	4388.7	1054034500	4388.7					100	25
10/12/2008	4381.3	4407.1	4330	4367.3	1098275500	4367.3						173
09/12/2008	4300.1	4413	4232.6	4381.3	1106828600	4381.3	-7.4		-1			
08/12/2008	4049.4	4318	4049.4	4300.1	1243254500	4300.1	-67.2	250.7	-1	1	0	
05/12/2008	4163.6	4163.6	4002.2	4049.4	1116563000	4049.4	-331.9	-114.2	-1	-1	0	
04/12/2008	4170	4261.1	4090	4163.6	1270801000	4163.6	-136.5	-6.4	-1	-1	1	
03/12/2008	4122.9	4190.9	4042.3	4170	1201073100	4170	120.6	47.1	1	1	-1	
02/12/2008	4065.5	4137.1	3973.3	4122.9	1586775800	4122.9	-40.7	57.4	-1	1	1	
01/12/2008	4288	4288	4038.4	4065.5	1042162300	4065.5	-104.5	-222.5	-1	-1	0	
28/11/2008	4226.1	4288	4192.5	4288	941923400	4288	165.1	61.9	1	1	-1	
27/11/2008	4152.7	4241.7	4152.7	4226.1	781558000	4226.1	160.6	73.4	1	1	1	
26/11/2008	4171.3	4198.7	4050.7	4152.7	1167500600	4152.7	-135.3	-18.6	-1	-1	-1	
25/11/2008	4153	4268.3	4069.3	4171.3	1902844600	4171.3	-54.8	18.3	-1	1	-1	
24/11/2008	3781	4153.1	3781	4153	1639666200	4153	0.3	372	1	1	0	
21/11/2008	3875	3946.7	3734.1	3781	1618676700	3781	-390.3	-94	-1	-1	0	
20/11/2008	4005.7	4005.7	3812.2	3875	1571801700	3875	-278	-130.7	-1	-1	1	
19/11/2008	4208.5	4213.2	3999.1	4005.7	1388499600	4005.7	224.7	-202.8	1	-1	1	
18/11/2008	4132.2	4208.5	4033.4	4208.5	1317042600	4208.5	333.5	76.3	1	1	1	
17/11/2008	4233	4236.4	4110.7	4132.2	1096392800	4132.2	126.5	-100.8	1	-1	-1	
14/11/2008	4169.2	4342.3	4169.2	4233	1228154000	4233	24.5	63.8	1	1	1	
13/11/2008	4182	4198.7	4079.6	4169.2	1418693000	4169.2	37	-12.8	1	-1	0	
12/11/2008	4246.7	4333.4	4134.5	4182	1441079300	4182	-51	-64.7	-1	-1	0	
11/11/2008	4403.9	4403.9	4231.5	4246.7	1320674700	4246.7	77.5	-157.2	1	-1	0	
10/11/2008	4365	4524.9	4365	4403.9	1096761500	4403.9	221.9	38.9	1	1	0	
07/11/2008	4272.4	4408.1	4263.8	4365	1296013900	4365	118.3	92.6	1	1	1	
06/11/2008	4530.7	4530.7	4260.3	4272.4	1681098800	4272.4	-131.5	-258.3	-1	-1	-1	
05/11/2008	4639.5	4639.5	4495.7	4530.7	1154349300	4530.7	165.7	-108.8	1	-1	1	
04/11/2008	4443.3	4639.5	4404.2	4639.5	1492237400	4639.5	367.1	196.2	1	1	1	
03/11/2008	4377.3	4443.3	4348.3	4443.3	1234626600	4443.3	-87.4	66	-1	1	1	
31/10/2008	4291.6	4383.9	4195.1	4377.3	1679929200	4377.3	-262.2	85.7	-1	1	0	
30/10/2008	4242.5	4352.5	4200.2	4291.6	1363824700	4291.6	-151.7	49.1	-1	1	-1	
29/10/2008	3926.4	4242.5	3926.4	4242.5	1667725800	4242.5	-134.8	316.1	-1	1	-1	
28/10/2008	3852.6	4034	3847.6	3926.4	1592948400	3926.4	-365.2	73.8	-1	1	-1	
27/10/2008	3883.4	3911.6	3665.2	3852.6	1399046800	3852.6	-389.9	-30.8	-1	-1	1	
24/10/2008	4087.8	4087.8	3715.2	3883.4	1831994400	3883.4	-43	-204.4	-1	-1	1	
23/10/2008	4040.9	4108.4	3927.6	4087.8	1459891400	4087.8	235.2	46.9	1	1	0	
22/10/2008	4229.7	4229.7	4031.8	4040.9	1446139700	4040.9	157.5	-188.8	1	-1	-1	
21/10/2008	4282.7	4347.7	4212.4	4229.7	1277220400	4229.7	141.9	-53	1	-1	-1	
20/10/2008	4063	4282.7	4063	4282.7	1455709900	4282.7	241.8	219.7	1	1	1	
17/10/2008	3861.4	4077.6	3861.3	4063	1844506800	4063	-166.7	201.6	-1	1	1	
16/10/2008	4079.6	4079.6	3808.1	3861.4	1998661000	3861.4	-421.3	-218.2	-1	-1	1	
15/10/2008	4394.2	4394.2	4052	4079.6	1647590100	4079.6	16.6	-314.6	1	-1	1	
14/10/2008	4256.9	4534.4	4256.9	4394.2	2146346000	4394.2	532.8	137.3	1	1	0	
13/10/2008	3932.1	4256.9	3932.1	4256.9	2086166600	4256.9	177.3	324.8	1	1	1	
